date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:32	38927/38927	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202025%2000:02:36%20GMT	https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036	C:/clone/newspub/www.newspub.kr/content0e5f.html	(from )
09:02:32	66/66	---M--	200	added ('OK')	text/plain	date:Thu,%2011%20Dec%202025%2009:48:44%20GMT	https://www.newspub.kr/robots.txt		(from )
09:02:32	42217/42217	---M--	200	added ('OK')	image/jpeg	etag:%2269315221-a4e9%22	https://file.osen.co.kr/article/2025/12/04/202512041818778752_6931521e5cc43.jpg	C:/clone/newspub/file.osen.co.kr/article/2025/12/04/202512041818778752_6931521e5cc43.jpg	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:32	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2011%20Dec%202025%2009:47:52%20GMT	https://www.newspub.kr/static/images/favicon.ico	C:/clone/newspub/www.newspub.kr/static/images/favicon.ico	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:33	148267/148267	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:47:52%20GMT	https://www.newspub.kr/static/css/style.css	C:/clone/newspub/www.newspub.kr/static/css/style.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:33	85560/85560	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Dec%202025%2000:02:37%20GMT	https://www.newspub.kr/	C:/clone/newspub/www.newspub.kr/index.html	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:33	1776/1776	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:47:52%20GMT	https://www.newspub.kr/static/css/slick.css	C:/clone/newspub/www.newspub.kr/static/css/slick.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:33	35973/35973	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:47:52%20GMT	https://www.newspub.kr/static/css/jquery-ui.css	C:/clone/newspub/www.newspub.kr/static/css/jquery-ui.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:33	207306/207306	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:48:44%20GMT	https://www.newspub.kr/static/css/custom_bootstrap.css	C:/clone/newspub/www.newspub.kr/static/css/custom_bootstrap.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:33	25253/25253	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:47:52%20GMT	https://www.newspub.kr/static/css/elegant.css	C:/clone/newspub/www.newspub.kr/static/css/elegant.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:34	24855/24855	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:48:44%20GMT	https://www.newspub.kr/static/css/plyr.css	C:/clone/newspub/www.newspub.kr/static/css/plyr.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:34	26053/26053	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:47:52%20GMT	https://www.newspub.kr/static/css/aos.css	C:/clone/newspub/www.newspub.kr/static/css/aos.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
09:02:34	77758/77758	---M--	200	added ('OK')	text/css	date:Thu,%2011%20Dec%202025%2009:48:44%20GMT	https://www.newspub.kr/static/css/animate.css	C:/clone/newspub/www.newspub.kr/static/css/animate.css	(from https://www.newspub.kr/content?nid=6931528936714e6ba5a77e57&rss=1&aid=6108c5a8eb03b3083cb8d035&mid=6108c616eb03b3083cb8d036&utm_source=6108c616eb03b3083cb8d036)
